gauge_id,KGE_similarity3,KGE_similarity5,KGE_similarity7,KGE_similarity10,KGE_similarity15,KGE_similarity20,KGE_similarity25,KGE_similarity30,KGE_similarity40,KGE_similarity50,KGE_similarity75,KGE_similarity100,KGE_similarity150,KGE_similarity200,KGE_similarity250,KGE_similarity300,KGE_similarity350,KGE_similarity400,KGE_similarity450,KGE_similarity500,KGE_similarity550,KGE_similarity600,gauge_lon,gauge_lat,max_KGE
camels_14185900,0.35731557,0.60539957,0.91473792,0.73986075,0.83664077,0.85391592,0.8540652,0.78127332,0.68583299,0.85586761,0.82625582,0.83535484,0.83564854,0.79044202,0.80670199,0.81201098,0.77543271,0.78636443,0.80523807,0.82126944,0.80312269,0.80666195,-122.43591,44.54012,44.54012
camels_14187000,0.30897914,0.14939359,0.31084357,0.4867757,0.39261277,0.36410508,0.36884401,0.33482138,0.34283133,0.33352687,0.29929215,0.27175205,0.26722741,0.20338761,0.16089515,0.19888635,0.21265564,0.22863374,0.24555815,0.24669692,0.19930628,0.20332558,-122.62314,44.37235,44.37235
camels_14216500,0.51250829,0.53903556,0.728921,0.86236588,0.8583027,0.79609454,0.80815511,0.83273003,0.71520101,0.69060833,0.81153755,0.7543514,0.63404202,0.68616225,0.45968643,0.8541143,0.80099058,0.79556344,0.85850296,0.87395317,0.87574595,0.87008497,-121.9987,46.07567,46.07567
camels_14222500,0.48778484,0.84761922,0.68279862,0.85426289,0.69115426,0.67627244,0.76518861,0.81376248,0.63659301,0.61248976,0.67160418,0.58689659,0.58008707,0.59750945,0.62491149,0.67738816,0.61848456,0.64970872,0.66405642,0.68585674,0.69606296,0.71813461,-122.46621,45.83678,45.83678
camels_14236200,0.91238406,0.91956709,0.88642741,0.91202418,0.91360352,0.86954373,0.87434303,0.93262414,0.92298052,0.91685237,0.93273022,0.91726148,0.91545762,0.8995036,0.90964744,0.89255635,0.87165868,0.86689052,0.88412949,0.86962759,0.87720251,0.86561011,-122.45956,46.59538,46.59538
camels_14301000,0.9157999,0.8373708,0.84197765,0.64394205,0.52626973,0.70600891,0.73093421,0.79334474,0.69834331,0.70064047,0.77046035,0.72814031,0.8306266,0.79627845,0.74155811,0.72086569,0.76451828,0.78120262,0.79390813,0.79330016,0.76781944,0.71573183,-123.7554,45.704,45.704
camels_14303200,0.60964236,0.58446175,0.81758257,0.89504639,0.77995155,0.83117875,0.8318081,0.82584591,0.82432053,0.80834423,0.72114597,0.60551175,0.56637389,0.56365889,0.55005412,0.57267979,0.52782117,0.55735023,0.56126953,0.58888756,0.55414283,0.56091631,-123.5465,45.32428,45.32428
camels_14305500,0.49584584,0.75935275,0.72649786,0.57746204,0.57399097,0.55102502,0.54113304,0.52191439,0.50819103,0.51601658,0.79215487,0.78331923,0.65641404,0.55825243,0.58343067,0.61430693,0.59641322,0.59718353,0.6162681,0.62995653,0.61072792,0.64700255,-123.88733,44.71512,44.71512
camels_14306340,-0.03940135,0.66829791,0.57302961,0.5783111,0.79365252,0.81979309,0.81698962,0.85254066,0.79558162,0.75390794,0.82066209,0.81427246,0.80111661,0.78824799,0.75342526,0.73933326,0.7242984,0.70743595,0.69037221,0.72838599,0.70333497,0.68745404,-123.63649,44.2479,44.2479
camels_14306500,-0.12825237,0.7748319,0.85897673,0.8943592,0.77562167,0.69931367,0.78408111,0.74950527,0.92616421,0.9468243,0.88695025,0.91561996,0.89548561,0.87961981,0.89433207,0.87154511,0.87024291,0.84161366,0.8666751,0.83609047,0.82934907,0.79623868,-123.83178,44.38595,44.38595
camels_14308990,-0.54238752,-0.59356971,-0.49462034,-0.25069152,-0.23269303,-0.14162577,-0.15887464,-0.08398282,-0.20383455,0.08094551,-0.01403071,-0.11426823,-0.04930221,-0.23765949,-0.15933361,-0.10775444,-0.26436752,-0.17100041,-0.45344576,-0.52707296,-1.0168483,-0.54728811,-123.12589,42.82318,42.82318
camels_14309500,-0.26393819,0.52892562,-0.19292487,-2.61819434,-3.45467818,-0.09905301,-0.61285688,-0.45413865,-0.73196823,-1.1927393,-0.34487252,0.42833719,0.54101317,-0.21319846,0.48058737,0.3437323,0.39590545,0.47258838,0.22058134,0.00125951,-0.38189944,-0.26215762,-123.61091,42.804,42.804
camels_14316700,-0.01163012,0.77235213,0.7707698,0.72481178,0.71572635,0.68119715,0.77669659,0.79083678,0.75570388,0.75338685,0.07086889,0.28372584,-1.00681939,-8.36085713,-8.13054226,-10.00732263,-8.74775503,-4.00847845,-2.97075397,-3.15650063,-2.69809447,-2.73445589,-122.72894,43.34984,43.34984
camels_14325000,0.65883725,0.39587073,0.35640114,0.25601053,0.31790561,0.35177,0.29606058,0.22603383,0.32709069,0.4116332,0.37270692,0.38721449,0.50435789,0.53680274,0.58548742,0.54561328,0.55796096,0.56348832,0.56340566,0.55783154,0.53453526,0.52624214,-124.07065,42.8915,42.8915
camels_14362250,-20.79224863,-9.8943131,-16.16852621,-7.44910809,-6.77741581,-6.77386414,-7.80007667,-9.27959369,-9.84300119,-8.64698331,-10.94425467,-9.13636116,-8.57053749,-8.10728654,-5.97754852,-7.4080186,-7.89118396,-11.93151446,-9.88919491,-8.88411342,-9.28255977,-9.87676451,-123.07532,42.15401,42.15401
camels_14400000,0.13500719,0.56524593,0.56641027,0.56110799,0.59668212,0.6158594,0.59054365,0.59309847,0.55531797,0.58532741,0.60178611,0.59277514,0.62465947,0.64016907,0.64200444,0.64378641,0.64293502,0.63244033,0.63753757,0.64833143,0.64637661,0.6391733,-124.18731,42.12344,42.12344
